claim_id,recommended_location,priority,safe_claim,caveat,evidence
C01,main_text,core,Converting the deterministic forecast into a probabilistic distribution explains most of the weather-model gain; the static Gaussian accounts for 95.8% of the raw-to-selected-GP CRPS improvement.,"This is an attribution ratio within the specified weather models, not a causal decomposition.",W01-W04
C02,main_text,core,"On July-August market books, the static correction is at least as close to Polymarket as the selected GP in total variation; its raw-to-GP improvement share is 100.4%.","Total variation measures probability-book distance, not forecast correctness.",M04-M06
C03,main_text,core,The development-selected convex pool assigns 18.8% weight to the GP and 81.2% to Polymarket.,The weight is a proper-score optimum within the restricted convex-pool family and is not an information-share decomposition.,M03
C04,main_text,core,"The convex pool has the lowest external categorical log-loss point estimate, but its advantage over Polymarket is not statistically resolved.",Do not claim that the pool significantly beats Polymarket.,M07-M11
C05,main_text,core,The frozen trading policy uses the 24-hour decision rule and a 0.15 GP-minus-raw-market probability-gap threshold selected using March-June only.,Rule choice is support-sensitive in the common-date diagnostic and should not be described as an intrinsically optimal forecast horizon.,"T01-T02,R01"
C06,main_text,core,"Across the currently settled July-August sample, the frozen selected-GP policy earns 2.451 net PnL from 12 trades with a non-annualised settlement-date Sharpe of 0.194.",Historical YES records are reduced-form entry proxies; 31 August remains pending in the current run.,T05-T08
C07,main_text,core,The simple static probabilistic correction accounts for 93.8% of the raw-to-GP external PnL improvement under the frozen policy.,This is fixed-policy attribution: raw and static signals are not separately re-optimised.,"T03-T05,T09"
C08,main_text,core,"The external GP PnL point estimate is positive, but inferential strength depends on temporal-resampling assumptions: dependence_sensitive.",Do not write a blanket claim of statistically significant profitability.,T10-T11
C09,main_text,core,Temperature perturbations transmit nonlinearly into strategy PnL because smooth event-probability changes interact with contract selection and the discrete trading threshold.,"Finite portfolio slopes are stress sensitivities, not a single global classical delta.",forecast-risk stress and finite-slope outputs
C10,main_text_or_discussion,important_caveat,"The prespecified rule-specific-support procedure selects 24h_prior, whereas the common-date diagnostic favours 12h_prior; rule selection therefore shows some support-composition sensitivity.",The common-support result is diagnostic and does not replace the frozen policy.,rule_support_robustness.csv
C11,appendix,robustness,External PnL remains 1.472 after removing the largest positive trade and 0.527 after removing the two largest.,The strategy still has only a small number of trades; this diagnostic does not solve the small-sample issue.,external_gp_top_winner_removal.csv
C12,appendix,robustness,Nearby external threshold performance is reported descriptively without reselecting the policy.,External thresholds must never be used to choose a replacement for h=0.15.,external_threshold_neighbourhood.csv
C13,appendix,robustness,July and August fixed-policy results are reported separately to disclose calendar concentration.,Monthly subsamples are descriptive and small.,external_monthly_method_performance.csv
C14,appendix_or_discussion,diagnostic,Larger realised GP mean errors are associated with worse date-level PnL in exploratory diagnostics.,Spearman p-values are nominal and unadjusted; do not present them as confirmatory multiple-testing evidence.,forecast_error_pnl_bins.csv; forecast_risk_spearman_summary.csv
C15,do_not_use_as_primary_claim,avoid_overstatement,The sqrt(365)-scaled Sharpe may be shown only as an explicitly descriptive scaling if retained at all.,Use the non-annualised settlement-date Sharpe as the principal volatility-adjusted statistic.,trading_risk_summary.csv
C16,do_not_use_as_primary_claim,avoid_overstatement,"Return-on-entry-cash is a reduced-form diagnostic, not an executable portfolio return.","No historical bid/ask, slippage, capacity or full capital-accounting model is available.",trading_risk_summary.csv
C17,temporary_results_note,pending_refresh,Current external realised-score and PnL results exclude the unresolved 31 August settlement.,Refresh once the official HKO Daily Extract target is available; do not reselect any development-only choice.,pending_target_status.json
